CASENUMBER,CASECLASSIFICATION,TYPEOFBUSINESS,TYPEOFCOMPLAINT,CONSTRUCTIONREFERRAL,CITATIONISSUED,OPENDATE,CLOSEDATE,OUTCOME,COMPLAINT,ADDRESS,COUNCILDISTRICT,LOCATION,Single Member Council Districts,"Boundaries: Zip Code Tabulation Areas, 2017",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
2020 054496-CC,COVID-19,Residential,Social Distancing,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,SOCIETY SOCO-OVER OCCUPANCY,6001 S CONGRESS AVENUE,2,POINT (-97.77566286 30.20083079),2,5,4,1,373,23
2020 098823-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 .Social Distancing,101 RED RIVER STREET,9,POINT (-97.73863184 30.26198655),9,52,10,60,502,24
2020 098834-CC,COVID-19,Other (Describe in Comments),Over Occupancy,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,Referred to Appropriate Agency,caller noticed party bus(school bus) driving by neighborhood full of people. business name is Fly Rides. website is fly-rides.com business phone number: (512) 662-1716 business email: BOOKING@FLY-RIDES.COM. agent unable to locate business physical address.  COVID-19 .Over Occupancy,E RIVERSIDE DR AND LAWRENCE ST,,POINT (-88.448709 24.923983),,,,,,
2020 093777-CC,COVID-19,Other,Face-Covering,,,06/24/2020 12:00:00 AM,06/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"covid197 ElevenExact address of concern:  6701 Cameron RdWhen did this take place?  JUN 24, 2020Business Name?:",6701 CAMERON RD,,POINT (-88.448709 24.923983),,,,,,
2020 095035-CC,COVID-19,Other,Face-Covering,,,06/26/2020 12:00:00 AM,06/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19Face CoveringU Haul Moving & Storage,9001 S IH 35 SVRD NB,5,POINT (-97.78441723 30.16641192),5,25,1,,484,20
2020 098838-CC,COVID-19,Bar,Social Distancing,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Gathering of more than 10.  Hosting a volleyball tournament  COVID-19 .Social Distancing,306 BARTON SPRINGS ROAD,9,POINT (-97.74808883 30.25897422),9,9,10,42,217,75
2020 068674-CC,COVID-19,Residential,Social Distancing,,,05/02/2020 12:00:00 AM,05/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19Residential/Apartmentreporting social gathering,2001 ROSEWOOD AVENUE,1,POINT (-97.71804287 30.26973447),1,7,8,59,309,1
2020 051888-CC,COVID-19,Parks,Social Distancing,,,03/28/2020 12:00:00 AM,03/28/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19South Shore Park,1333 SHORE DISTRICT DRIVE,3,POINT (-97.72722326 30.2434737),3,8,3,64,309,55
2020 098810-CC,COVID-19,Residential/Apartment,Social Distancing,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"2 females in their 20s were running east on the sidewalk and 1 male in his 20s was running east in the street adjacent to the curb.  No masks were being used.  The females were within a foot of each other.  They were jogging towards me and I was walking toward them.  I motioned to them to move over because a brick wall was on my right side and if I went into the street, I would have been in the males path.  The females ran at me and on each side of me within inches.   They were all shouting back and forth while passing me.  Then I said, Girls, you shouldnt be doing this.  They replied in a derogatory voice, Oh come on!Laughed and kept running.  COVID-19 .Social Distancing",2700 W 35TH STREET,10,POINT (-97.76276824 30.31090698),10,26,5,,126,66
2020 098746-CC,COVID-19,Parks,Social Distancing,,,07/03/2020 12:00:00 AM,07/04/2020 12:00:00 AM,Referred to Appropriate Agency,Caller states that there are tons of cars and people at Mt Bonnel and it is supposed to be closed for social distancing  COVID-19 .Social Distancing,3800 MOUNT BONNELL ROAD,10,POINT (-97.77353904 30.32104888),10,17,5,,217,66
2020 054971-CC,COVID-19,Restaurant,Over Occupancy,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,1701 E CESAR CHAVEZ STREET,3,POINT (-97.72644492 30.25763079),3,7,3,35,309,1
2020 098860-CC,COVID-19,Residential/Apartment,Over Occupancy,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,Closed/Duplicate Case,COVID-19 .Over Occupancy,91 RAINEY STREET,9,POINT (-97.73793407 30.26020459),9,52,10,60,502,24
2020 052404-CC,COVID-19,Other,Over Occupancy,,,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Covid 20-00120986,2510 ONION CREEK PARKWAY,5,POINT (-97.7889771 30.13632826),5,36,1,,484,4
2020 054341-CC,COVID-19,Residential,Social Distancing,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,4611 COLORADO CROSSING,10,POINT (-97.78002533 30.33926668),10,17,5,,217,66
2020 098741-CC,COVID-19,Other,Social Distancing,,,07/03/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 .Over Occupancy,2101 W BEN WHITE BLVD SVRD EB 101,,POINT (-88.448709 24.923983),,,,,,
2020 054291-CC,COVID-19,Other,Non-essential Business,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19Washaroo Carwash,4110 S 1ST STREET,3,POINT (-97.77089056 30.22515245),3,5,3,58,373,23
2020 051713-CC,COVID-19,Parks,Social Distancing,,,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19Dottie Jordan Park,2803 LOYOLA LANE,1,POINT (-97.67355643 30.31418617),1,19,8,41,309,33
2020 057602-CC,COVID-19,Other,Non-essential Business,,,04/09/2020 12:00:00 AM,04/09/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OPEN BUSINESS,1000 PAYTON GIN ROAD BLDG  C,4,POINT (-97.70459028 30.36019365),4,22,9,16,63,18
2020 054315-CC,COVID-19,Other,Social Distancing,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,4506 S CONGRESS AVENUE,3,POINT (-97.76856558 30.21619482),3,5,3,18,373,23
2020 054922-CC,COVID-19,Other,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,COVID-19/Education Provided,COVID19OVER OCCUPANCY,14900 AVERY RANCH BLVD. C700,,POINT (-88.448709 24.923983),,,,,,
2020 054887-CC,COVID-19,Restaurant,Over Occupancy,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCYLa Michoacana,850 E RUNDBERG LANE BLDG  B,4,POINT (-97.68553546 30.35733155),4,47,9,87,217,78
2020 094551-CC,COVID-19,Other,Face-Covering,,,06/25/2020 12:00:00 AM,06/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"COVID-19Verizon, Verizon Not requiring employees or customers to wear face coverings.",7951 BURNET ROAD,7,POINT (-97.73002204 30.35776401),7,3,7,9,217,16
2020 098755-CC,COVID-19,Other,Face-Covering,,,07/03/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,happened all day  COVID-19 .Face Covering Non-Compliance - Business,6501 S CONGRESS AVENUE,2,POINT (-97.77741249 30.19524067),2,5,4,1,373,23
2020 054347-CC,COVID-19,Other,Over Occupancy,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,611 CENTER RIDGE DRIVE,7,POINT (-97.66653567 30.41443065),7,47,7,,540,78
2020 054904-CC,COVID-19,Residential,Social Distancing,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCYHOUSE PARTY,2414 PEARL STREET,9,POINT (-97.74695356 30.28908397),9,43,10,44,217,50
2020 098744-CC,COVID-19,Other,Face-Covering,,,07/03/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 .Face Covering Non-Compliance - Business,2211 JUSTIN LANE,7,POINT (-97.73654698 30.34465801),7,3,7,25,217,16
2020 068431-CC,COVID-19,Parks,Social Distancing,,,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,Referred to Appropriate Agency,COVID19SOCIAL DISTANCING,3753 S CAPITAL OF TEXAS HIGHWAY NB,5,POINT (-97.80055321 30.24386995),5,9,1,93,126,75
2020 098765-CC,COVID-19,Business,Face Covering Non-Compliance - Business,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 .Face Covering Non-Compliance - Business,214 E 6TH STREET UNIT B,9,POINT (-97.74057856 30.2677638),9,52,10,60,217,24
2020 095328-CC,COVID-19,Other,Face-Covering,,,06/27/2020 12:00:00 AM,06/29/2020 12:00:00 AM,Closed/Duplicate Case,COVID19Face MaskHome Depot,11301 LAKELINE BOULEVARD,6,POINT (-97.79937682 30.47942465),6,16,6,,540,47
2020 060455-CC,COVID-19,Other,Social Distancing,,,04/15/2020 12:00:00 AM,04/15/2020 12:00:00 AM,COVID-19/Education Provided,COVID 19SR #: 20-00148735 ,1224 S LAMAR BOULEVARD UNIT  B,5,POINT (-97.76316155 30.25411052),5,9,1,2,217,75
2020 052226-CC,COVID-19,Other,Social Distancing,,,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,HHSC Social Security Determination Building-Over occupancy,6101 E OLTORF STREET,3,POINT (-97.71370721 30.21565745),3,8,3,76,248,55
2020 054460-CC,COVID-19,Residential,Social Distancing,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,ARGOSY AT CRESTVIEW APTS -OVER OCCUPANCY,1003 JUSTIN LANE,7,POINT (-97.7218154 30.33753699),7,3,7,25,217,16
2020 054983-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,11100 ALTERA PKWY,,POINT (-88.448709 24.923983),,,,,,
2020 098774-CC,COVID-19,Other (Describe in Comments),Social Distancing,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,Referred to Appropriate Agency,caller wanted to report there is going to be a protest today at 10 am starting at the heb going down towards the governs mansion  COVID-19 .Social Distancing,7112 ED BLUESTEIN BLVD SVRD SB,,POINT (-88.448709 24.923983),,,,,,
2020 054338-CC,COVID-19,Restaurant,Social Distancing,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,515 S CONGRESS AVENUE,9,POINT (-97.74700812 30.25608931),9,9,10,49,217,75
2020 059734-CC,COVID-19,Residential,Social Distancing,,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19OVER CROWDING,1308 NAVASOTA STREET,1,POINT (-97.72830677 30.27416797),1,7,8,56,309,1
2020 051909-CC,COVID-19,Other,Social Distancing,,,03/28/2020 12:00:00 AM,03/28/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19Famsa furniture store,8716 RESEARCH BLVD SVRD SB,7,POINT (-97.71929446 30.36387989),7,3,7,9,217,16
2020 098752-CC,COVID-19,Other,Face-Covering,,,07/03/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,no gloves either  COVID-19 .Face Covering Non-Compliance - Business,1313 E PARMER LN,,POINT (-88.448709 24.923983),,,,,,
2020 054956-CC,COVID-19,Other,Over Occupancy,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,4040 S LAMAR BOULEVARD SB,5,POINT (-97.79502108 30.23731064),5,9,1,93,217,75
2020 054319-CC,COVID-19,Residential,Social Distancing,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,2800 W 45TH STREET,10,POINT (-97.75355536 30.32087891),10,17,5,53,217,66
2020 057862-CC,COVID-19,Other,Over Occupancy,,,04/10/2020 12:00:00 AM,04/10/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19HEBNot practicing social distancing,5808 BURNET ROAD,7,POINT (-97.74108411 30.33425256),7,12,7,53,217,7
2020 057860-CC,COVID-19,Restaurant,Over Occupancy,,,04/10/2020 12:00:00 AM,04/10/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 fourteen customers at the same timeMerit Coffee,222 WEST AVENUE,9,POINT (-97.7520135 30.2673959),9,52,10,60,217,24
2020 068672-CC,COVID-19,Residential,Social Distancing,,,05/02/2020 12:00:00 AM,05/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19Residential/Apartmentseveral parties,7908 ADELAIDE DRIVE,8,POINT (-97.91910348 30.19187937),8,35,2,,531,10
2020 054321-CC,COVID-19,Residential,Social Distancing,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,9701 SPECTRUM DRIVE,6,POINT (-97.7695343 30.48051323),6,49,6,,540,47
2020 054902-CC,COVID-19,Other,Over Occupancy,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCYGOODWILL,2900 W ANDERSON LANE,7,POINT (-97.73741263 30.35958053),7,3,7,95,217,16
2020 057606-CC,COVID-19,Restaurant,Non-essential Business,,,04/09/2020 12:00:00 AM,04/09/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OPEN BUSINESS,1141 AIRPORT BOULEVARD,3,POINT (-97.6968437 30.2714164),3,4,3,81,309,62
2020 098758-CC,COVID-19,Park,Social Distancing,,,07/03/2020 12:00:00 AM,07/04/2020 12:00:00 AM,Referred to Appropriate Agency,there is a lot of people in the park not doing social distancing  COVID-19 .Social Distancing,907 W SLAUGHTER LANE,5,POINT (-97.8075294 30.17354472),5,37,1,,417,22
2020 054828-CC,COVID-19,Residential,Social Distancing,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,5100 FAIRVIEW DRIVE,10,POINT (-97.75877266 30.3325572),10,17,5,,126,66
2020 098801-CC,COVID-19,Business,Social Distancing,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,Referred to Appropriate Agency,Caller states company Austin Boat Rental has overloaded pontoon boats that they have overloaded with customers who arent wearing masks and arent practicing social distancing.  COVID-19 .Social Distancing,3825 LAKE AUSTIN BOULEVARD,10,POINT (-97.784235 30.29523078),10,26,5,6,126,69
2020 098804-CC,COVID-19,Restaurant,Face Covering Non-Compliance - Business,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"Caller reporting a popeyes that is not making its customers wear masks as they enter. Caller also complained about mayors orders, stating that they are confusing.  COVID-19 .Face Covering Non-Compliance - Business",1823 AIRPORT BOULEVARD,1,POINT (-97.70313678 30.28213042),1,7,8,67,309,62
2020 049439-CC,COVID-19,Other,Social Distancing,,,03/24/2020 12:00:00 AM,03/24/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19 OVER OCCUPANCY,9160 RESEARCH BLVD SVRD SB,7,POINT (-97.73180092 30.37477476),7,3,7,95,217,16
2020 098875-CC,COVID-19,Park,Social Distancing,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,Referred to Appropriate Agency,some people are in the water some are on the barton creek pedestrian  COVID-19 .Social Distancing,2040 LOU NEFF RD,,POINT (-88.448709 24.923983),,,,,,
2020 098781-CC,COVID-19,Bar,Over Occupancy,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"Received via Mobile app Request Number 20-00267545: Yet another massive gathering at the bar associated with address. Not everyone is wearing a mask and there is no social distancing. In wake of thousands of deaths in Texas and hundreds of thousands nation-wide, it seems strange that no action has been taken against this bar. I am a aware that they have received multiple complaints for the past week. This negligence is killing people.  COVID-19 .Over Occupancy",3715 S 1ST STREET,3,POINT (-97.76731947 30.22898339),3,9,3,47,217,75
2020 052053-CC,COVID-19,Parks,Social Distancing,,,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,COVID-19/Education Provided,SR-20-00121131COVID 19,1722 CAMP CRAFT ROAD,8,POINT (-97.82371237 30.27416878),8,10,2,,179,29
2020 098788-CC,COVID-19,Business,Face Covering Non-Compliance - Business,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Caller says person is in close proximity to register and handling  cash.  COVID-19 .Face Covering Non-Compliance - Business,500 E BEN WHITE BLVD EB,,POINT (-88.448709 24.923983),,,,,,
2020 098849-CC,COVID-19,Residential/Apartment,Over Occupancy,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Central location in the pool  COVID-19 .Over Occupancy,8810 TALLWOOD DRIVE,10,POINT (-97.74239957 30.37982313),10,51,5,,217,58
2020 054901-CC,COVID-19,Other,Over Occupancy,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCYKia of South Austin,5306 S IH 35 SVRD SB,3,POINT (-97.76191951 30.20272437),3,5,3,5,373,23
2020 052023-CC,COVID-19,Other,Face-Covering,,,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19 Move Solutions LTD. Improper PPE supplied to workers,4101 SMITH SCHOOL ROAD,2,POINT (-97.71092617 30.19865332),2,25,4,,484,20
2020 098683-CC,COVID-19,Other,Face-Covering,,,07/03/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"Caller wanted to report that they noticed that HEB has not been enforcing face mask coverings inside of their establishment. They stated on the outside they do, but once inside they allow citizens to walk inside freely without it on, even when asked by customers to correct the situation. They wanted to report this.",1801 E 51ST STREET,9,POINT (-97.69866857 30.30178456),9,19,10,38,309,33
2020 054326-CC,COVID-19,Residential,Social Distancing,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,6226 THURGOOD AVENUE,3,POINT (-97.67694877 30.26261266),3,4,3,31,309,62
2020 054332-CC,COVID-19,Residential,Social Distancing,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,3513 HILLBROOK DRIVE,10,POINT (-97.75879454 30.34611406),10,17,5,,217,66
2020 054877-CC,COVID-19,Other,Over Occupancy,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCYYMCA,5807 MC NEIL DRIVE,,POINT (-97.73347317 30.44614862),,24,,,540,36
2020 054314-CC,COVID-19,Schools,Social Distancing,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,9405 BRODIE LANE,5,POINT (-97.84496398 30.19013126),5,37,1,,62,22
2020 054908-CC,COVID-19,Residential,Social Distancing,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCYTHE LOLA APARTMENTS,1221 S CONGRESS AVENUE UNIT  1413,9,POINT (-97.74865605 30.25142463),9,9,10,30,217,75
2020 054921-CC,COVID-19,Residential,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,12151 N I35 UNIT 335,,POINT (-88.448709 24.923983),,,,,,
2020 089185-CC,COVID-19,Other,Social Distancing,,,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,COVID-19/Education Provided,Palazio's,501 E BEN WHITE BLVD SVRD EB,3,POINT (-97.75842513 30.21908819),3,5,3,5,373,23
2020 054487-CC,COVID-19,Restaurant,Over Occupancy,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,EL CHILITO -OVER OCCUPANCY,4501 MENCHACA ROAD,5,POINT (-97.78918839 30.22795391),5,5,1,20,373,23
2020 096179-CC,COVID-19,Other,Face-Covering,,,06/29/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"COVID 19 - Home DepotOne employee not wearing mask, and the whole store not enforcing the policy.",10515 N MOPAC EXPY SVRD NB,7,POINT (-97.73244813 30.39160434),7,51,7,45,217,18
2020 098782-CC,COVID-19,Other (Describe in Comments),Face Covering Non-Compliance - Business,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Caller states the patrons using the Golds Gym @ the location address arent wearing face covering or are wearing them incorrectly. Caller states the gym personnel are wearing masks and are also announcing through the gym that mask are required to be worn inside the premises.  COVID-19 .Face Covering Non-Compliance - Business,1701 W BEN WHITE BLVD EB,,POINT (-88.448709 24.923983),,,,,,
2020 098754-CC,COVID-19,Other,Face-Covering,,,07/03/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,the caller said that this store had 5 or 6 people that had covid19 inside the store.  COVID-19 .Face Covering Non-Compliance - Business,9414 N LAMAR BOULEVARD,4,POINT (-97.69790118 30.36499055),4,47,9,16,217,18
2020 054348-CC,COVID-19,Other,Social Distancing,,,04/02/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,,9601 AMBERGLEN BOULEVARD,,POINT (-97.77596265 30.47226476),,30,,,540,46
2020 098835-CC,COVID-19,School,Social Distancing,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,Referred to Appropriate Agency,Boat ramp by school  COVID-19 .Social Distancing,1715 W CESAR CHAVEZ STREET,9,POINT (-97.76745073 30.27384723),9,26,10,72,126,69
2020 054905-CC,COVID-19,Residential,Social Distancing,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCYHOUSE PARTY,1908 SAN GABRIEL STREET,9,POINT (-97.74856974 30.28441351),9,43,10,44,217,50
2020 050448-CC,COVID-19,Other,Over Occupancy,,,03/26/2020 12:00:00 AM,03/26/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19 OVER OCCUPANCY,2301 E ST ELMO ROAD,2,POINT (-97.74446585 30.20858468),2,25,4,39,484,20
2020 098843-CC,COVID-19,Residential/Apartment,Over Occupancy,,,07/04/2020 12:00:00 AM,07/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19 .Over Occupancy,1414 S LAMAR BOULEVARD,5,POINT (-97.76384635 30.25292435),5,9,1,2,217,75
2020 059723-CC,COVID-19,Residential,Social Distancing,,,04/14/2020 12:00:00 AM,04/14/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19OVER CROWDING,1920 E RIVERSIDE DRIVE,3,POINT (-97.72809524 30.24250186),3,8,3,64,309,55
2020 054973-CC,COVID-19,Parks,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,COVID-19/Education Provided,COVID19OVER OCCUPANCY,422 GUADALUPE STREET,9,POINT (-97.74703734 30.26763618),9,52,10,60,217,24
2020 052046-CC,COVID-19,Other,Over Occupancy,,,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID 19OVERCROWDED,8600 BALCONES CLUB DRIVE,6,POINT (-97.78184761 30.4371927),6,39,6,,540,28
2020 054979-CC,COVID-19,Other,Over Occupancy,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,COVID-19/Education Provided,COVID19OVER OCCUPANCY,1030 NORWOOD PARK BOULEVARD,4,POINT (-97.69116655 30.33915245),4,47,9,17,63,78
2020 051869-CC,COVID-19,Residential,Social Distancing,,,03/28/2020 12:00:00 AM,03/28/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID,11000-11141 CURRIN LANE,,POINT (-97.8445203 30.15890865),5,37,1,,45,22
2020 068150-CC,COVID-19,Parks,Over Occupancy,,,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,COVID-19/Education Provided,COVID-19PARD; Bull creek ParkSocial Distancing/Over Occupancy,6701 LAKEWOOD DRIVE,10,POINT (-97.78724986 30.36591575),10,17,5,,217,66
2020 071776-CC,COVID-19,Other,Social Distancing,,,05/08/2020 12:00:00 AM,05/08/2020 12:00:00 AM,COVID-19/Education Provided,"COVID-19BUSINESS: Angel House Soup KitchenCOMMENT: APD Teleserve Request** APD Notes: ""COVID19 GATHERING VIOLATION AT ANGEL HOUSE SOUP KITCHEN.""",908 E CESAR CHAVEZ STREET,3,POINT (-97.73478549 30.26097412),3,7,3,35,309,1
2020 089432-CC,COVID-19,Restaurant,Social Distancing,,,06/16/2020 12:00:00 AM,06/16/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,"CoVid complaint, social distancing.Hula Hut",3825 LAKE AUSTIN BOULEVARD,10,POINT (-97.784235 30.29523078),10,26,5,6,126,69
2020 054949-CC,COVID-19,Other,Over Occupancy,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,3401 S LAMAR BLVD SUITE 3135,,POINT (-88.448709 24.923983),,,,,,
2020 051890-CC,COVID-19,Other,Over Occupancy,,,03/28/2020 12:00:00 AM,03/28/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19Whole Foods Market,525 N LAMAR BOULEVARD,9,POINT (-97.7540585 30.27056891),9,26,10,60,217,69
2020 052157-CC,COVID-19,Other,Over Occupancy,,,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,Over occupancyCharlottes fiesta flowers,4404 BURNET ROAD,10,POINT (-97.74242824 30.31443164),10,12,5,74,217,7
2020 054325-CC,COVID-19,Other,Social Distancing,,,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,2433 RUTLAND DRIVE UNIT  300,7,POINT (-97.72214703 30.38219766),7,22,7,45,217,18
2020 054948-CC,COVID-19,Schools,Social Distancing,,,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID19OVER OCCUPANCY,9201 SCENIC BLUFF DRIVE,,POINT (-97.88551155 30.30246524),,21,,,179,67
2020 057827-CC,COVID-19,Other,Over Occupancy,,,04/10/2020 12:00:00 AM,04/10/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,COVID-19Oak Willie's Smoke Shop Open for business,9505 BURNET ROAD,7,POINT (-97.72461619 30.37860917),7,22,7,45,217,18
2020 054667-CC,COVID-19,Other,Non-essential Business,,,04/03/2020 12:00:00 AM,04/03/2020 12:00:00 AM,No Violation(s) Found/Inspection Performed,BEAUTY SALON -OVER OCCUPANCY,9717 N LAMAR BOULEVARD,4,POINT (-97.6945384 30.36582903),4,47,9,51,217,78
